gene,condition,cluster,manual_annotation,best_described_by,condition_specificity
ZNF414,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
DRAP1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
PPP6R2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
TEP1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
GZF1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
PTP4A2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ORMDL2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
FBXO32,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ATP8B1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
MAN1A2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
DEFA6,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
PACSIN2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
STIP1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
HNF4A,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
RIPK1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
INPP5K,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
EPB41L3,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ZNF165,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
FAM3C,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
NCKAP1L,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
NEB,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
SACM1L,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
THRA,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
FAM83F,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
PHGR1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
TTC39C,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ACSS1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
WASF2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
SAMD4B,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
MIA3,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ZMYM2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CHMP1A,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CRTC2,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CRTAP,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
SP140L,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
ADCY4,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CMTR1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
IL21,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
SPSB3,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
UBXN1,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CEP57,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CTSF,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
DEF8,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
CCDC28B,Rest,27,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest
TARS2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
KAT14,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
LRPPRC,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TWNK,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COA3,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
DHODH,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRB,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL37,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL16,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TUFM,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS26,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS23,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL10,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS15,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL46,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HCCS,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX4I1,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COQ2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PNPT1,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS17,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
BCS1L,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TIMM8B,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MIPEP,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UQCRQ,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
ATXN10,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
KIFAP3,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
POLRMT,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
FH,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
LARS2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL42,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
CAD,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
NPC2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPL45,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX6C,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
GDF9,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PARS2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
PDSS2,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
STXBP4,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
TFAM,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SSBP1,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
UMPS,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HSD17B10,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX5A,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
HMBS,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
COX11,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MRPS35,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
SLC25A10,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
MYCN,Rest,28,ribosomal and mitochrondrial function,Organellar ribosome,across_condition
ARIH1,Rest,29,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest
PPP6C,Rest,29,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest
N6AMT1,Rest,29,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest
CYLD,Rest,29,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest
ECHS1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RHOF,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SOCS3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
H2BC10,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NAA30,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
KBTBD2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
EIF1AX,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CUL3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
FBXO38,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NCAPG2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ATP1B3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
DCAKD,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
THAP11,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PAK1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
STK40,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SLC5A6,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CKLF-CMTM1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PRAM1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
TENT2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NFKBIL1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ABCC1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZNF154,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
MYH9,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CCDC138,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PPP1R12A,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RHEB,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
LRP2BP,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ATG12,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RALGAPB,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
LAMP1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SIRT7,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
COG6,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CFD,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZNF93,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZNF703,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ATM,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
FHL1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PIK3R4,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SLC17A5,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
DET1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
IST1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
LAT2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
AP1S2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PTPN2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PKN1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZNF649,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PPDPF,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
MMP9,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
DCAF16,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NFKB1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CFAP298,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ENDOG,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
KRCC1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZNF613,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PARP14,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
MAGEH1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ZMAT1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
EDC3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NPHP4,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CAND1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RWDD2B,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ATP2A2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
GZMB,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RAD50,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
MAN2A1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CISD1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
MTMR3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PCBP2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NKX6-3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
PHF19,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
DIS3L2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RAD54L2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CRYZL1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
FBXL3,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
NCAM1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SAC3D1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CLCC1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
FAM229A,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ABHD13,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
TBC1D10A,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SIK2,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
BRK1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
ANKAR,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
CAP1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
TIMM10,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
SPTBN1,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
KAT7,Rest,30,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest
RRAGA,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
RPTOR,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
VPS35,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR4,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR3,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
MIOS,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
WDR59,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
TMEM214,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
VPS29,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR2,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR5,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
RRAGC,Stim48hr,31,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR3,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
MIOS,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
FOXK1,Rest,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
FOXK1,Stim48hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
WDR59,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
TMEM214,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
RPTOR,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
FOXK1,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
RRAGC,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR4,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
LAMTOR2,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
RRAGA,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
WDR24,Stim8hr,32,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition
CTU2,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP4,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
MOCS3,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
CTU2,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP3,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
SLC39A6,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP5,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP1,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP3,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
URM1,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP4,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
DPM1,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
MOCS3,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
NR2C2AP,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP3,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
KTI12,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP2,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP2,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP1,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
NR2C2AP,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
KTI12,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
DPM1,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
KTI12,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
CTU1,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP2,Stim8hr,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP1,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP4,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
URM1,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP5,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
CTU1,Rest,33,elongator complex,tRNA wobble uridine modification,across_condition
ELP5,Stim48hr,33,elongator complex,tRNA wobble uridine modification,across_condition
DPH6,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DNAJC24,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
TPT1,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
TTC4,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH1,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
DPH5,Stim8hr,34,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition
KLHDC10,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ICOS,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
NIPBL,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
NEIL1,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
PXMP4,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
PXMP4,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ZNF641,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
C8orf33,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
HSD17B13,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
AK3,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RAB11FIP1,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
IL12RB2,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ADAM19,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
AK3,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
LZTS1,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RAB11FIP1,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ZNF92,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
PLA2G4A,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
FBXO32,Stim48hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
PROX2,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ALKBH2,Stim48hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
SLAMF7,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RAB11FIP1,Stim48hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
PDLIM2,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
SMAD3,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
LTB4R,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
GNG11,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RASGRP1,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RB1CC1,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ZNF92,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
RASGRP1,Rest,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ARMC8,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
ALKBH2,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
CCNC,Stim8hr,35,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition
